Dates,VIX,VSTOXX,ESX50,SnP500
5/3/2021,18.31,19.93,4000.25,4192.66
5/4/2021,19.48,22.82,3924.80,4164.66
5/5/2021,19.15,19.90,4002.79,4167.59
5/6/2021,18.39,20.38,3999.44,4201.62
5/7/2021,16.69,18.38,4034.25,4232.60
5/10/2021,19.66,18.50,4023.35,4188.43
5/11/2021,21.84,22.56,3946.06,4152.10
5/12/2021,27.59,23.94,3947.43,4063.04
5/13/2021,23.13,23.35,3952.45,4112.50
5/14/2021,18.81,19.55,4017.44,4173.85
5/17/2021,19.72,21.81,4006.84,4163.29
5/18/2021,21.34,21.31,4005.34,4127.83
5/19/2021,22.18,24.48,3936.74,4115.68
5/20/2021,20.67,22.10,3999.91,4159.12
5/21/2021,20.15,20.35,4025.78,4155.86
5/24/2021,18.40,19.24,4035.58,4197.05
5/25/2021,18.84,19.08,4036.04,4188.13
5/26/2021,17.36,18.28,4031.67,4195.99
5/27/2021,16.74,17.82,4039.21,4200.88
5/28/2021,16.76,17.17,4070.56,4204.11
5/31/2021,16.76,19.10,4039.46,4204.11
6/1/2021,17.90,18.77,4071.75,4202.04
6/2/2021,17.48,17.85,4088.50,4208.12
6/3/2021,18.04,18.24,4079.24,4192.85
6/4/2021,16.42,17.38,4089.38,4229.89
6/7/2021,16.42,17.71,4097.65,4226.52
6/8/2021,17.07,17.72,4096.01,4227.26
6/9/2021,17.89,17.23,4096.85,4219.55
6/10/2021,16.10,16.66,4096.07,4239.18
6/11/2021,15.65,15.15,4126.70,4247.44
6/14/2021,16.39,16.05,4132.67,4255.15
6/15/2021,17.02,16.41,4143.52,4246.59
6/16/2021,18.15,16.18,4151.76,4223.70
6/17/2021,17.75,17.08,4158.14,4221.86
6/18/2021,20.70,20.76,4083.37,4166.45
6/21/2021,17.89,19.48,4112.33,4224.79
6/22/2021,16.66,17.57,4123.13,4246.44
6/23/2021,16.32,18.55,4075.94,4241.84
6/24/2021,15.97,17.35,4122.43,4266.49
6/25/2021,15.62,16.68,4120.66,4280.70
6/28/2021,15.76,17.65,4089.91,4290.61
6/29/2021,16.02,16.95,4107.51,4291.80
6/30/2021,15.83,18.18,4064.30,4297.50
7/1/2021,15.48,17.73,4078.89,4319.94
7/2/2021,15.07,16.57,4084.31,4352.34
7/5/2021,15.07,16.75,4087.37,4352.34
7/6/2021,16.44,18.13,4052.67,4343.54
7/7/2021,16.20,17.32,4078.53,4358.13
7/8/2021,19.00,19.97,3991.66,4320.82
7/9/2021,16.18,17.95,4068.09,4369.55
7/12/2021,16.17,17.95,4093.38,4384.63
7/13/2021,17.12,18.00,4094.56,4369.21
7/14/2021,16.33,17.68,4099.50,4374.30
7/15/2021,17.01,18.64,4056.39,4360.03
7/16/2021,18.45,19.45,4035.77,4327.16
7/19/2021,22.50,25.44,3928.53,4258.49
7/20/2021,19.73,24.49,3956.34,4323.06
7/21/2021,17.91,21.52,4026.68,4358.69
7/22/2021,17.69,19.91,4059.05,4367.48
7/23/2021,17.20,17.55,4109.10,4411.79
7/26/2021,17.58,18.53,4102.59,4422.30
7/27/2021,19.36,21.36,4064.83,4401.46
7/28/2021,18.31,19.48,4103.03,4400.64
7/29/2021,17.70,19.26,4116.77,4419.15
7/30/2021,18.24,20.94,4089.30,4395.26
8/2/2021,19.46,19.84,4116.62,4387.16
8/3/2021,18.04,20.22,4117.95,4423.15
8/4/2021,17.97,19.21,4144.90,4402.66
8/5/2021,17.28,18.25,4161.08,4429.10
8/6/2021,16.15,17.89,4174.54,4436.52
8/9/2021,16.72,17.55,4177.15,4432.35
8/10/2021,16.79,17.28,4187.82,4436.75
8/11/2021,16.06,17.04,4206.33,4447.70
8/12/2021,15.59,16.11,4226.33,4460.83
8/13/2021,15.45,15.80,4229.70,4468.00
8/16/2021,16.12,18.00,4202.44,4479.71
8/17/2021,17.91,18.39,4196.40,4448.08
8/18/2021,21.57,18.47,4189.42,4400.27
8/19/2021,21.67,22.13,4124.71,4405.80
8/20/2021,18.56,20.15,4147.50,4441.67
8/23/2021,17.15,17.89,4176.42,4479.53
8/24/2021,17.22,18.09,4178.08,4486.23
8/25/2021,16.79,17.83,4181.12,4496.19
8/26/2021,18.84,19.09,4169.87,4470.00
8/27/2021,16.39,17.60,4190.98,4509.37
8/30/2021,16.19,17.50,4198.80,4528.79
8/31/2021,16.48,18.77,4196.41,4522.68
9/1/2021,16.11,17.47,4227.27,4524.09
9/2/2021,16.41,16.97,4232.10,4536.95
9/3/2021,16.41,18.19,4201.98,4535.43
9/6/2021,16.41,17.56,4246.13,4535.43
9/7/2021,18.14,18.60,4225.01,4520.03
9/8/2021,17.96,20.49,4177.15,4514.07
9/9/2021,18.80,19.64,4177.11,4493.28
9/10/2021,20.95,20.36,4170.35,4458.58
9/13/2021,19.37,20.74,4189.53,4468.73
9/14/2021,19.46,20.46,4191.67,4443.05
9/15/2021,18.18,21.69,4145.94,4480.70
9/16/2021,18.69,21.65,4169.87,4473.75
9/17/2021,20.81,23.17,4130.84,4432.99
9/20/2021,25.71,26.47,4043.63,4357.73
9/21/2021,24.36,25.51,4097.51,4354.19
9/22/2021,20.87,22.81,4150.19,4395.64
9/23/2021,18.63,20.62,4194.92,4448.98
9/24/2021,17.75,21.85,4158.51,4455.48
9/27/2021,18.76,20.83,4165.48,4443.11
9/28/2021,23.25,24.89,4058.82,4352.63
9/29/2021,22.56,23.96,4080.22,4359.46
9/30/2021,23.14,23.24,4048.08,4307.54
10/1/2021,21.15,24.04,4035.30,4357.04
10/4/2021,22.96,25.19,3996.41,4300.46
10/5/2021,21.30,22.23,4065.43,4345.72
10/6/2021,21.00,24.33,4012.65,4363.55
10/7/2021,19.54,21.02,4098.34,4399.76
10/8/2021,18.77,20.28,4073.29,4391.34
10/11/2021,20.00,20.18,4072.52,4361.19
10/12/2021,19.85,20.74,4055.09,4350.65
10/13/2021,18.64,19.84,4083.28,4363.80
10/14/2021,16.86,16.99,4149.06,4438.26
10/15/2021,16.30,16.35,4182.91,4471.37
10/18/2021,16.31,17.13,4151.40,4486.46
10/19/2021,15.70,16.29,4166.83,4519.63
10/20/2021,15.49,15.98,4172.17,4536.19
10/21/2021,15.01,16.75,4155.73,4549.78
10/22/2021,15.43,16.40,4188.81,4544.90
10/25/2021,15.24,16.28,4188.31,4566.48
10/26/2021,15.98,16.15,4223.97,4574.79
10/27/2021,16.98,16.92,4220.88,4551.68
10/28/2021,16.53,17.61,4233.87,4596.42
10/29/2021,16.26,17.62,4250.56,4605.38
11/1/2021,16.41,17.50,4280.47,4613.67
11/2/2021,16.03,16.86,4296.22,4630.65
11/3/2021,15.10,16.47,4309.61,4660.57
11/4/2021,15.44,15.97,4333.34,4680.06
11/5/2021,16.48,16.40,4363.04,4697.53
11/8/2021,17.22,17.20,4352.53,4701.70
11/9/2021,17.78,18.06,4344.63,4685.25
11/10/2021,18.73,17.18,4348.82,4646.71
11/11/2021,17.66,17.09,4358.00,4649.27
11/12/2021,16.29,16.14,4370.33,4682.85
11/15/2021,16.49,16.65,4386.19,4682.80
11/16/2021,16.37,16.80,4401.49,4700.90
11/17/2021,17.11,16.68,4400.81,4688.67
11/18/2021,17.59,17.77,4383.70,4704.54
11/19/2021,17.91,19.12,4356.47,4697.96
11/22/2021,19.17,18.88,4338.69,4682.94
11/23/2021,19.38,20.64,4283.82,4690.70
11/24/2021,18.58,20.67,4276.25,4701.46
11/25/2021,18.58,19.88,4293.24,4701.46
11/26/2021,28.62,32.31,4089.58,4594.62
11/29/2021,22.96,28.80,4109.51,4655.27
11/30/2021,27.19,30.07,4063.06,4567.00
12/1/2021,31.12,26.02,4179.15,4513.04
12/2/2021,27.95,30.47,4108.02,4577.10
12/3/2021,30.67,31.48,4080.15,4538.43
12/6/2021,27.18,30.04,4137.11,4591.67
12/7/2021,21.89,24.87,4276.20,4686.75
12/8/2021,19.90,24.71,4233.09,4701.21
12/9/2021,21.58,23.52,4208.30,4667.45
12/10/2021,21.58,23.52,4208.30,4667.45
